,0
1996," TO30 B5000296 B
B5091996 B
1996.	The following excerpt is from Daisy Miller: A Study by Henry James (1879).

At the little town of Vevey, in Switzerland, there is a particularly comfortable hotel. There are, indeed, many hotels, for the entertainment of tourists is the business of the place, which, as many travelers will remember, is seated upon the edge of a remarkably blue lake -- a lake that it behooves every tourist to visit. The shore of the lake presents an unbroken array of establishments of this order, of every category, from the “grand hotel” of the newest fashion, with a chalk-white front, a hundred balconies, and a dozen flags flying from its roof, to the little Swiss pension of an elder day, with its name inscribed in German-looking lettering upon a pink or yellow wall and an awkward summerhouse in the angle of the garden.

In the passage, the author primarily employs which of the following literary techniques?

A.	irony
B.	imagery
C.	symbolism
D.	exaggeration
"
1997," TO30 B5000297 C
B5091997 C
1997.	The following excerpt is from Moby Dick by Herman Melville (1851).

It was while gliding through these latter waters that one serene and moonlight night, when all the waves rolled by like scrolls of silver; and, by their soft, suffusing seethings, made what seemed a silvery silence, not a solitude; on such a silent night a silvery jet was seen far in advance of the white bubbles at the bow. Lit up by the moon, it looked celestial; seemed some plumed and glittering god uprising from the sea. Fedallah first descried this jet. For of these moonlight nights, it was his wont to mount to the main-mast head, and stand a look-out there, with the same precision as if it had been day.

In the passage, the author mainly employs which of the following literary techniques?

A.	irony
B.	paradox
C.	alliteration
D.	exaggeration
"
1998," TO30 B4000298 A
B4091998 A
1998.	The following excerpt is from Agnes of Sorrento by Harriet Beecher Stowe (1899).

The old town of Sorrento is situated on an elevated plateau, which stretches into the sunny waters of the Mediterranean, guarded on all sides by a barrier of mountains which defend it from bleak winds and serve to it the purpose of walls to a garden. Here, groves of oranges and lemons, with their almost fabulous coincidence of fruitage with flowers, fill the air with perfume, which blends with that of roses and jessamines; and the fields are so starred and enameled with flowers that they might have served as the type for those Elysian realms sung by ancient poets. The fervid air is fanned by continual sea-breezes, which give a delightful elasticity to the otherwise languid climate.

Which of the following terms best characterizes the mood of the passage?

A.	infatuated
B.	pensive
C.	playful
D.	restless
"
1999," TO30 B5000299 C
B5091999 C
1999.	The following excerpt is from The Last Man by Mary Wollstonecraft Shelley (1826).

We were twelve hours at sea, and the heavy swell obliged us to exert all our strength. At length, by mere dint of rowing, we reached the French coast. The stars faded, and the grey morning cast a dim veil over the silver horns of the waning moon -- the sun rose broad and red from the sea, as we walked over the sands to Calais. Our first care was to procure horses, and although wearied by our night of watching and toil, some of our party immediately went in quest of these in the wide fields of the unenclosed and now barren plain round Calais. We divided ourselves, like seamen, into watches, and some reposed, while others prepared the morning's repast. 

As found in the passage, the phrase “the grey morning cast a dim veil” is an example of

A.	an exaggeration.
B.	a euphemism.
C.	a metaphor.
D.	an allegory."
2000," TO30 A1000300 C
A1092000 C
2000.	Black pepper is a spice that is beloved by many chefs around the world for its robust flavor and fragrance. This pepper comes from various species of pepper plants that are now cultivated in many tropical and subtropical regions of the world, but that are native to southern India and Sri Lanka. The berries of the plant, called peppercorns when dried, are used whole or ground. Historically, pepper was a significant part of the spice trade with India and was prized in Medieval Europe. Because the pepper traveled to Europe all the way from India, it was very rare, costly, and considered an amenity reserved for the wealthy. In fact, peppercorns were at one time so valuable that they were used as a form of currency. Not just a condiment, pepper--like many pungent spices--was used medicinally by Indians, Greeks, Romans, and the Chinese as a remedy for digestive disorders and other illnesses. Today, pepper is one of the most popular spices and can be found on almost every dining table in the United States.

According to the passage, pepper in Medieval Europe was

A.	paid for with currency.
B.	a native regional plant.
C.	an amenity reserved for the wealthy.
D.	used mainly to treat digestive disorders.
"
2001," TO30 A1000301 A
A1092001 A
2001.	Everybody yawns, and seeing someone else yawn can cause a person to yawn in response. Chances are that even reading about yawning will trigger a yawn. There are many interesting theories about why we yawn, but the exact cause or causes remain a bit of a mystery. In ancient Greece, Hippocrates thought that yawning released bad air from the lungs. In the seventeenth and eighteenth centuries, scientists began to consider the possibility that yawning was related to the circulatory system and that it increased blood pressure, heart rate, and the level of oxygen in the blood. More recent studies about yawning suggest that the body induces yawning to decrease brain temperature. Even a slight increase in brain temperature can decrease a person’s reaction time and impede memory. Yawning might also serve a social function by indicating our mental state--perhaps bored or tired -- to those around us.

According to the passage, Hippocrates thought that yawning

A.	released bad air from the lungs.
B.	lowered the brain’s temperature.
C.	indicated a person’s mental state.
D.	was related to the circulatory system.
"
2002," TO30 A1000302 D
A1092002 D
2002.	Nearly every species of bat is nocturnal and forages for food during the night, when they are active. During the day, caves often provide bats with a safe haven. While bats can roost in many locations, including trees, cliff faces, and in buildings, the largest bat colonies in the United States are found in caves. Bats sleep hanging upside down from the cave’s ceiling, where they are inaccessible to most of their predators. Cave bats are beneficial to other cave dwellers, such as tiny crustaceans and other organisms that feed on the fungi and bacteria that grow on bat waste matter, called guano. The only mammals that are able to fly, bats have adapted so well to their environment that they comprise a quarter of all mammal species on the planet.

According to the passage, bats reside in caves to

A.	avoid dangerous cliff faces.
B.	prey on other cave dwellers.
C.	forage for food during the night.
D.	be inaccessible to their predators.
"
2003," TO30 A1000303 C
A1092003 C
2003.	The dwarf planet Pluto may have been discovered at Lowell Observatory in Flagstaff, Arizona, but its name came all the way from Oxford, England. An 11-year-old named Venetia Burney was interested in astronomy and in Greek and Roman mythology. In 1930, when her grandfather, Falconer Madan, told her about the not-yet-named discovery of what was then considered the ninth planet from the sun, Burney immediately thought of naming it Pluto, for the Roman god of the underworld. Madan was a friend of an astronomy professor, Herbert Hall Turner, who suggested the name to the discoverer, Clyde Tombaugh, at Lowell Observatory. The name Pluto found favor with Tombaugh and others at the observatory because it shared its first two letters with the initials of the observatory’s founder, Percival Lowell. Used over the years since then to name things as unalike as a cartoon dog and a new element in the periodic table--plutonium--Pluto was a widely popular choice for the new discovery.

According to the passage, Burney thought of naming Pluto after

A.	a popular cartoon dog.
B.	an element in the periodic table.
C.	the Roman god of the underworld.
D.	the founder of Lowell Observatory.
"
2004," TO30 A2000304 D
A2092004 D
2004.	The following excerpt is from Many Ways for Cooking Eggs by Mrs. S. T. Rorer (1907).

To ascertain the freshness of an egg without breaking it, hold your hand around the egg toward a bright light or the sun and look through it. If the yolk appears quite round and the white clear, it is fresh. Or, if you put it in a bucket of water and it falls on its side, it is fresh. If it sort of topples in the water, standing on its end, it is fairly fresh, but, if it floats, beware of it. The shell of a fresh egg looks dull and porous. As it begins to age, the shell takes on a shiny appearance. If an egg is kept any length of time, a portion of its water evaporates, which leaves a space in the shell, and the egg will “rattle.” An egg that rattles may be perfectly good, and still not absolutely fresh.

Based on the passage, think twice about eating an egg if

A.	it rattles inside its shell when shaken.
B.	the white looks transparent when held up to a light.
C.	the shell looks dull and porous when examined closely.
D.	it remains on the surface when placed in a container of water.
"
2005," TO30 B1000305 C
B1092005 C
2005.	The following excerpt is from The Cruise of the Snark by Jack London (1911).

Possibly the proudest achievement of my life, my moment of highest living, occurred when I was seventeen. I was in a three-masted schooner off the coast of Japan. We were in a typhoon. All hands had been on deck most of the night. I was called from my bunk at seven in the morning to take the wheel. Not a stitch of canvas was set. We were running before it under bare poles, yet the schooner fairly tore along. The seas were all of an eighth of a mile apart, and the wind snatched the whitecaps from their summits, filling. The air so thick with driving spray that it was impossible to see more than two waves at a time.

Which of the following conclusions is suggested by the passage?

A.	The narrator took the wheel for the first time.
B.	The schooner has been damaged in the storm.
C.	The narrator bravely faced a sailing emergency.
D.	The schooner has been blown off course by the wind.
"
2006," TO30 B1000306 B
B1092006 B
2006.	The following excerpt is from Irish Metal Work by Diarmid Coffey, a chapter in The Glories of Ireland edited by Joseph Dunn and P.J. Lennox (1914).

Between the years 2000 and 1800 BC the primitive metalworkers discovered that bronze, a mixture of tin and copper, was a more suitable metal than pure copper for the manufacture of weapons; and the first period of the bronze age may be dated from 1800 to 1500 BC. The bronze celts at first differed little from those made of copper, but gradually the type developed from the plain wedge-shaped celt to the beautiful socketed celt, which appears on the scene in the last, or fifth, division of the bronze age (900-350 BC). It was during the age of bronze that spears came into general use, as did the sword and rapier. The early spear-heads were simply knife-shaped bronze weapons riveted to the ends of shafts, but by degrees the graceful socketed spear-heads of the late bronze age were developed.

The passage suggests that a celt is an early type of

A.	sculpture.
B.	weapon.
C.	mold.
D.	alloy.
"
2007," TO30 B1000307 D
B1092007 D
2007.	The following excerpt is from The Pecan and Its Culture by H. Harold Hume (1906).

The area in which the pecan is cultivated as an orchard tree is not confined to the limits of its native range. Plantings have been made outside its native home in New Mexico, California and Oregon in the West, and in Virginia, North Carolina, South Carolina, Georgia, Florida, Southern Alabama and the Gulf regions of Louisiana, Mississippi and Texas. In many other States experimental plantings have been made. Leaving these out of consideration, however, it will be seen that in about twenty States the pecan is either found as a native tree in the forests or is cultivated in orchard form. The area corresponds in some measure with that in which cotton is grown, though it extends farther north and west than the cotton region.

Which of the following statements is suggested by the passage?

A.	Pecan trees are easy to grow in orchards in any state.
B.	Pecan trees and cotton plants are grown in twenty states.
C.	Pecan tree cultivation is still in the early experimental stage.
D.	Pecan trees and cotton plants have similar growing requirements.
"
2008," TO30 B2000308 A
B2092008 A
2008.	The following excerpt is from Elementary Composition by Dorothea F. Canfield and George R. Carpenter (1918).

There are certain rules in composition which are based on the experience of many writers and speakers. These you will learn as we go on. These rules will not be of very much value to you, however, unless you put them into practice. If you want to learn how to swim, you can get the general idea from a friend or a teacher; but that general idea will not enable you to swim. You must learn to swim by swimming. In the same way, you must learn composition by composing. Keep trying to express your ideas; let your teachers and friends tell you how clearly they understand you, take their criticism to heart, and try again.

Which of the following best expresses the main idea of the passage?

A.	The best way to improve writing skills is by writing.
B.	Learning how to write requires adherence to certain rules.
C.	The best way to improve writing skills is to accept criticism.
D.	Learning to write and learning to swim are similar processes.
"
2009," TO30 B3000309 D
B3092009 D
2009.	The following excerpt is from The Problems of Philosophy by Bertrand Russell (1912).

In this chapter we have to ask ourselves whether, in any sense at all, there is such a thing as matter. Is there a table which has a certain intrinsic nature, and continues to exist when I am not looking, or is the table merely a product of my imagination, a dream-table in a very prolonged dream? This question is of the greatest importance. For if we cannot be sure of the independent existence of objects, we cannot be sure of the independent existence of other people’s bodies, and therefore still less of other people’s minds, since we have no grounds for believing in their minds except such as are derived from observing their bodies. Thus if we cannot be sure of the independent existence of objects, we shall be left alone in a desert--it may be that the whole outer world is nothing but a dream, and that we alone exist. This is an uncomfortable possibility; but although it cannot be strictly proved to be false, there is not the slightest reason to suppose that it is true.

The author most likely wrote the passage in order to

A.	inform the reader.
B.	criticize the reader.
C.	entertain the reader.
D.	challenge the reader.
"
2010," TO30 A1000310 A
A1092010 A
2010.	Water lilies are aquatic perennial plants that float on or extend just above the surface in freshwater ponds, pools, and lakes. The plants have large leaves and fragrant white or pink flowers. Smooth, circular leaves growing upwards of nine to ten inches in diameter provide shelter for aquatic animals and surround each aromatic blossom. Growing in dense colonies, the water lily plant produces two- to six-inch-wide flowers that open at dawn, closing for the day in the early afternoon. Blooming season occurs during peak summer months, and pollination is done by insects. After two to five days of opening and closing, a flower closes for the final time, producing a fruit containing seeds that will eventually ripen below the surface of the water.

According to the passage, the water lily’s flower

A.	closes in the early afternoon.
B.	provides shelter for aquatic animals.
C.	floats just below the water’s surface.
D.	grows to be nine to ten inches in diameter.
"
2011," TO30 A1000311 C
A1092011 C
2011.	Often referred to as shelties, Shetland sheepdogs are a working dog breed whose ancestors hail from the Shetland Islands off the northern coast of Great Britain. Historically, farming families on the islands relied on shelties to provide grounds maintenance, including keeping livestock from gardens, herding flocks of sheep, and providing warning when unwelcome visitors drew near. When the dogs were introduced to the British mainland, however, they were also used as guardian dogs to provide companionship for city dwellers. Eventually, the Shetland sheepdog arrived in the United States in 1908 and was officially accepted as a breed a few years later. Widely recognized by breed officials as remarkably trainable, responsive, and obedient, shelties have since been used as medical assistance dogs, and they are regularly entered into a variety of dog competitions, including national herding trials.

According to the passage, shelties were initially used for

A.	medical assistance.
B.	close companionship.
C.	grounds maintenance.
D.	national herding trials.
"
2012," TO30 A2000312 A
A2092012 A
2012.	The Hydrangea is a genus of flowering shrub known for its large, brightly colored blooms. The most common type is known as the bigleaf hydrangea, which can grow upwards of six feet tall and is especially admired for its bountiful blossoms. Like all hydrangeas, the bigleaf thrives in moist, well-drained soils, in sun to partial shade, although sufficient sunlight is required to produce flowers. A few hardy varieties, such as the panicle hydrangeas, can flourish in sunny and hot conditions, but they still require regular watering. The color of hydrangea flowers can range anywhere from blue to pink, red, or white, and it is directly influenced by the acidity of the planting soil. To decrease acidic conditions, when pink flowers are desired, gardeners typically add lime to the soil. However, for higher acidic soil, gardeners can add aluminum sulfate or acidic organic matter and enjoy blue blooms midsummer through fall.

According to the passage, to achieve pink hydrangea blooms, a gardener should

A.	adjust the soil by adding lime.
B.	provide more acidic planting soil.
C.	water hydrangeas more frequently.
D.	relocate hydrangeas under shady areas.
"
2013," TO30 A2000313 C
A2092013 C
2013.	While there are approximately 2,000 recorded species of fireflies that survive in a variety of climates across the world, fireflies are especially predominant in warm and humid regions. These nocturnal, winged beetles are known for their vibrant displays of light, which are entirely heat-free, and originate from the underside of their abdomen. This phenomenon is a result of a reaction involving oxygen and other chemicals in the body of the firefly--most importantly luciferase and luciferin. Among fireflies, the emittance of light is used primarily as a mating signal between males and females, and it also serves to warn away predators who have experienced the firefly’s unpleasant taste. While scientists continue to investigate the biological mechanisms responsible for this dazzling phenomenon, the study of luciferase and luciferin in fireflies has advanced the scientific community’s understanding of heat-free light emittance.

According to the passage, the emittance of light from fireflies is

A.	a result of their living in warm, moist climates.
B.	accompanied by an increase in temperature.
C.	a cautionary signal to potential predators.
D.	an effect of known biological activities.
"
2014," TO30 B1000314 C
B1092014 C
2014.	It is no secret that hiking and biking are enjoyable outdoor activities that promote health and wellness. Less familiar is the idea that trail construction projects that facilitate such activities have a positive economic impact on the areas around these outdoor recreational spaces. Trails created for biking and hiking encourage visitor spending at local eateries, small businesses, and lodging establishments, thus increasing tax revenues in the regional community. They also make the community more attractive to prospective business owners who may be considering relocation or expansion. The influx of activity around new trails can even boost property values in surrounding neighborhoods. When all types of outdoor activities are considered, millions of jobs are supported and billions of dollars are contributed to the United States economy every year, making outdoor recreation places not only a great place to spend vacation time, but a pillar of community development and prosperity.

Which of the following conclusions is suggested by the passage?

A.	Opportunities to purchase a new home near a recreational space are limited. 
B.	Communities with many hiking and biking trails are perceived as expensive.
C.	Funds spent to create outdoor recreational spaces yield a return on investment.
D.	Tax rates are higher for businesses located near trails and other recreational areas.
"
2015," TO30 A2000315 D
A2092015 D
2015.	Many people are familiar with service dogs that help visually impaired people get around town, but a variety of other types of animals assist people with special needs. For example, miniature horses have been used to guide visually impaired people and to serve as therapy animals for seniors and children. The longer life span of these calm animals, compared to dogs, means the investment in training them makes economic sense. Similarly, capuchin monkeys, who can live 20 to 30 years, provide long term assistance to people who have severely impaired mobility. A service monkey can perform simple tasks that require dexterity, giving their companions a sense of independence. Even pot-bellied pigs have been trained to help owners by performing tasks similar to those that we’re accustomed to seeing service dogs perform. It is heart-warming that so many types of animals can form relationships with and provide assistance to people who need them.

Based on the passage, miniature horses are cost effective service animals because they

A.	can help perform simple tasks.
B.	take less time to train than dogs.
C.	perform simple tasks that require dexterity.
D.	can provide more years of service than dogs.
"
2016," TO30 B1000316 A
B1092016 A
2016.	The common foxglove is a biennial herb that yields 20-80 bell-shaped flowers on each stem, which can grow up to five feet tall. The tubular flowers come in various shades of white to pink to purple on the outside and feature dark purple spots and white patches on the inside. Long used by folk medicine practitioners as a cure for sore throats or to make a soothing compress, medical researchers later discovered foxglove to be a source of chemical compounds that stimulate the heart and kidneys. During the 1700s, English physician William Withering observed heart-specific effects of foxglove extract, particularly that it strengthened heart muscle contractions. Withering had knowledge of a local folk healer treating a patient with herbs. Intrigued by the patient’s miraculous recovery, Withering examined the herbs that the healer used and determined that foxglove was a primary ingredient. Since Withering’s discovery, digitalis--that is, the cardiac medication derived from foxglove--is used to treat a variety of heart-related issues.

The passage suggests that Withering’s investigation into the medical use of common foxglove

A.	contributed greatly to modern cardiac care.
B.	increased the popularity of natural remedies.
C.	influenced the treatments used by folk healers.
D.	led to widespread cultivation of the useful plant.
"
2017," TO30 B2000317 B
B2092017 B
2017.	A national nonprofit research center surveyed approximately 2,400 teachers of middle school and high school students about the influence of digital technology on their students’ writing skills. While most teachers did not believe that activities such as blogging and group texting could be considered writing in the conventional academic sense, they acknowledged an increased opportunity for creative self-expression and real-time collaboration through these digital platforms. At the same time, teachers also reported that the proliferation of evolving technologies, and the ways in which students typically use them, has led to a variety of classroom challenges. For example, instructors noted their students’ decreased understanding of proper research and citation methods, increased confusion between formal and informal writing, and difficulty comprehending long or complex texts. Nevertheless, 50 percent of the teachers said that teaching composition is easier with digital tools.

Based on the passage, the author’s main point is that

A.	blogging and group texting are not considered academic writing.
B.	students’ writing skills have changed with the rise of digital technologies.
C.	the majority of teachers use digital tools to teach writing and composition.
D.	students have more opportunities for self-expression with digital technology.
"
2018," TO30 B3000318 C
B3092018 C
2018.	Patch collecting has long been a hobby for children, world travelers, and military enthusiasts, but the tradition actually harkens back a thousand years. Though the patch as we know it--a commemorative fabric emblem--was popularized within only the last 200 years, insignias were used to show familial, cultural, or communal affiliation since before the first century. Later, Romans, Greeks, and select groups of people during the Middle Ages adopted similar signs of commitment, observing various pilgrimages with metal badges. In the nineteenth century, travelers began purchasing items as reminders of their adventures, while the next hundred years saw Europeans begin decorating their hiking gear with resort town patches, a trend that was soon adopted in the United States as the rise of national parks began calling more people outdoors. By no means limited to the travel industry, today’s patches are produced for special-interest groups, schools, and workplaces. 

The author most likely wrote the passage in order to

A.	share the pleasures of patch collecting.
B.	introduce the hobby of patch collecting.
C.	summarize the history of patch collecting.
D.	encourage the practice of patch collecting.
"
2019," TO30 B1000319 B
B1092019 B
2019.	A common baking ingredient, vanilla extract is harvested from the vanilla orchid, which is the only orchid known to yield edible fruit (pod)--commonly referred to as a vanilla bean. This climbing orchid can reach up to 80 feet tall in warm tropical and subtropical countries such as Mexico, Indonesia, Hawaii, and Tahiti. The orchid bloom, which in the wild is pollinated by bees but at a very low success rate, must be hand-pollinated by cultivators no later than 12 hours after blooming, which occurs only during a 24-hour period. If pollination is not successful, the flower drops, and the pod, which is produced only when the plant is a mature 10 feet or more, is lost. Once the orchid is pollinated and the plant reaches a bean-bearing height, the vanilla pods mature within approximately five months, and are cured, fermented, and dried to produce essential oil and extract.

Which of the following statements is suggested by the passage?

A.	Naturally-grown vanilla has medicinal properties.
B.	Producing vanilla extract is labor intensive.
C.	Most vanilla orchid blooms are pollinated.
D.	The vanilla orchid has a rapid growth rate.
"
2020," TO30 A1000320 B
A1092020 B
2020.	It takes a lot of food to satisfy a giant panda living in the wild. To fulfill their caloric needs, wild pandas must eat 20 to 40 pounds of bamboo every day. Bamboo makes up 99 percent of the giant panda’s diet in the wild and, to reach its daily quota, a giant panda must devote 10 to 16 hours a day to foraging and eating. Beyond bamboo, a wild panda’s diet consists of other grasses and the occasional musk deer fawn or small rodent. In zoos, giant pandas eat bamboo, but their diets are supplemented with sugar cane, rice gruel, carrots, apples, sweet potatoes, and special high-fiber biscuits. Zookeepers also provide pandas with toys that have special foods inside to give the animals exercise, enhance their well-being, and render their environment more interesting. After all, zoo pandas have a lot more time to play than their wild counterparts.

According to the passage, the diet of wild pandas occasionally includes

A.	sugar cane.
B.	small rodents.
C.	sweet potatoes.
D.	high-fiber carrots.
"
2021," TO30 A1000321 B
A1092021 B
2021.	The following excerpt is from The Autobiography of Benjamin Franklin by Benjamin Franklin (1791).

In 1717 my brother James returned from England with a press and letters to set up his business in Boston. I liked it much better than that of my father, but still had a hankering for the sea. To prevent the apprehended effect of such an inclination, my father was impatient to have me bound to my brother. I stood out some time, but at last was persuaded, and signed the indentures when I was yet but twelve years old. I was to serve as an apprentice till I was twenty-one years of age, only I was to be allowed journeyman's wages during the last year. In a little time I made great proficiency in the business, and became a useful hand to my brother. I now had access to better books. An acquaintance with the apprentices of booksellers enabled me sometimes to borrow a small one, which I was careful to return soon and clean.

According to the passage, the narrator was to serve as an apprentice until he was

A.	twelve years old.
B.	twenty-one years old.
C.	proficient in the business.
D.	a useful hand to his brother.
"
2022," TO30 A1000322 A
A1092022 A
2022.	Few people know about an historical nationwide campaign to decrease meat and wheat consumption on specific days of the week. Its origin dates back to World War I when the head of the Food Administration, future President Herbert Hoover, asked U.S. citizens to cut back on meat, fat, sugar, and wheat products in order to reserve food to feed soldiers and needy people of Allied nations. Businesses and private citizens embraced the effort, with over eleven million American families signing a pledge in November 1917 to observe Meatless Tuesdays and Wheatless Wednesdays. Ultimately, the campaign was successful, having achieved a fifteen percent reduction in food consumption in American homes between 1918 and 1919. Today, some people advocate following the same weekly restrictions to reduce levels of saturated fat in their diets and enhance community health. 

According to the passage, the intended purpose of the World War I meatless and wheatless days was to

A.	reserve food to feed soldiers and needy people of allied nations.
B.	achieve a fifteen percent reduction in food consumption in America.
C.	help eleven million American families eat vegetarian meals once a week.
D.	reduce levels of saturated fat in people’s diets and enhance community health.
"
2023," TO30 A1000323 C
A1092023 C
2023.	The Library of Congress is one of the oldest cultural institutions located in the U.S. capital, and it has come a long way since it was established in 1800 with an appropriation fund of $5,000. A few years later, in 1814, the British invaded present-day Washington D.C., setting fire to both the Capitol and the nation’s congressional library. In an effort to restore the library and replenish destroyed materials, former President Thomas Jefferson, one of the library’s founding fathers, agreed to sell the government his personal collection, more than doubling the original contents of the Library of Congress. Originally intended to serve as a resource for legislators, the Library of Congress has since become a vast repository of culture, information, and ideas on all subjects. Long open to the public, the library attracts nearly two million visitors each year. Despite the library’s modest beginnings, its collections now contain over 160 million items, including books, maps, photographs, and films, making it the world’s largest library.

According to the passage, which of the following statements about the Library of Congress is correct?

A.	It contains more than 160 million books.
B.	The original contents were insured for $5,000.
C.	It attracts nearly two million visitors each year.
D.	The original collection survived the 1814 invasion.
"
2024," TO30 A1000324 B
A1092024 B
2024.	Right-handed people make up nearly ninety percent of the human population, while left-handers and ambidextrous people, or people who can comfortably use both hands, comprise the remaining ten percent. Although it was once believed that the dominant hemisphere in one’s brain determined which hand is most used, more recent research reveals that the situation is not that simple. For example, for most people, regardless of their handedness, the left side of the brain dominates for language. Other research shows that left-handers and ambidextrous people may have a more developed connection between the two hemispheres of the brain. While scientists haven’t yet determined what dictates our right- or left-hand preference, researchers believe genes and the environment play a combined role.

According to the passage, the left hemisphere of the brain

A.	is dominant in ten percent of the population.
B.	dominates for language for most people.
C.	is more active in ambidextrous people.
D.	dictates a person’s hand preference.
"
2025," TO30 A3000325 C
A3092025 C
2025.	Homemade ricotta cheese makes dishes like lasagna, salads, and even sandwiches taste special. To make ricotta cheese at home, start by lining a colander with a piece of damp cheesecloth and setting it over a deep bowl. Then, pour four cups of whole milk and two cups of heavy cream into a stainless steel or enamel-coated pot. Add a teaspoon of salt and bring the contents to a full boil, stirring occasionally. Next, turn off the heat and add three tablespoons of high-quality white wine vinegar or lemon juice and let the mixture stand. The cheese will begin to curdle, separating into curds and whey. Pour the mixture into the cheesecloth-lined colander and let it drain for at least 20 minutes, occasionally discarding the whey that pools in the bowl below the colander. Once the cheese reaches your preferred thickness, spoon it into a bowl and enjoy it immediately, or cover it with plastic wrap and store it in the refrigerator for up to five days.

Based on the passage, what should be done immediately after turning off the heat under the milk and cream?

A.	Add salt and stir.
B.	Let the mixture stand.
C.	Add vinegar or lemon juice.
D.	Pour the mixture into a colander.
"
2026," TO30 B2000326 A
B2092026 A
2026.	Biking to work is a growing trend in the United States and with good reason. Commuting by bike on a regular basis helps the environment, is economical, and burns those extra calories. Getting started just takes a little research and preparation. After planning a safe route and schedule, you’ll need to think about gear and maintenance. It helps to keep all your gear, including bike repair essentials, stored in one place that’s easy to access in the morning. Cleaning your bike and checking basics such as tire pressure and brake wear regularly can help you avoid unexpected maintenance issues. Also, storing supplies like deodorant, extra shoes, and a change of clothes at your workplace can help lighten the load during your ride. Finally, be sure to invest in a good helmet, a reflective vest, and a lock that will keep your bike secure during work hours so it will still be there when you are ready for the ride home.

Based on the passage, the author’s main point about biking to work is that it

A.	requires organization and planning.
B.	saves money and helps save the planet.
C.	is the most practical form of transportation.
D.	has increased dramatically in the United States.
"
2027," TO30 B1000327 B
B1092027 B
2027.	When you see the term “CD,” you might picture compact discs for storing media, but some CDs, or certificates of deposit, actually store money. These CDs work a lot like savings accounts because they allow savers to earn interest on deposits at banks and credit unions. However, the key difference between a CD and a traditional savings account is that most CDs require you to leave your money in the account for a set period of time--that is, until it matures--or you could face fines for early withdrawals. CD investors earn higher interest rates than they would for conventional savings accounts. In general, the longer your CD takes to mature, the higher the interest rate. CDs are some of the safest investments available because they are not subject to the ups and downs of the stock market and are usually insured by the Federal Deposit Insurance Corporation. CDs can be an attractive investment option for those looking for a dependable place to store their money while earning interest along the way.

The passage suggests that CDs are a reasonable opportunity for people who

A.	already have a traditional savings account.
B.	can afford to wait to access their savings.
C.	are willing to assume moderate risk.
D.	can afford the early withdrawal fees.
"
2028," TO30 B2000328 B
B2092028 B
2028.	The following excerpt is from “Walking” by Henry David Thoreau (1862).

Where is the literature which gives expression to Nature? He would be a poet who could impress the winds and streams into his service, to speak for him; who nailed words to their primitive senses, as farmers drive down stakes in the spring, which the frost has heaved; who derived his words as often as he used them--transplanted them to his page with earth adhering to their roots; whose words were so true and fresh and natural that they would appear to expand like the buds at the approach of spring, though they lay half smothered between two musty leaves in a library--aye, to bloom and bear fruit there, after their kind, annually, for the faithful reader, in sympathy with surrounding Nature.

Which of the following best expresses the main idea of the passage?

A.	Descriptions of nature should be left to the poets.
B.	Words cannot compare to the wonders of nature.
C.	Books should be read in a natural environment.
D.	Nature should be the subject of more books.
"
2029," TO30 B2000329 A
B2092029 A
2029.	The following excerpt is from Theodore Roosevelt, The Citizen by Jacob A. Riis (1904).

President Roosevelt speaks as he writes. That tells the story. He makes no pretense to being an orator. Critics sometimes say that his books are not “literature,” by which they apparently mean words strung together to sound well. They are not. But what he writes no one can misunderstand, and the style seems to the reader unimportant, though it is notably direct, terse and vigorous. When he speaks, there is not often much applause, and when there is, he often raises his hand with a warning gesture to stop it. Both his hearers and he are much too interested in the thing he says to pay great heed to the way he says it. But when it is over, his hearers go away, thinking. They know exactly what he meant, and, for the best of reasons--he did. I cannot think of a better prescription for speechmaking of the present day that is meant to convince.

Which of the following best expresses the main idea of the passage?

A.	Roosevelt is a straightforward communicator.
B.	Roosevelt’s books tend to be unpopular with critics.
C.	Audiences leave thinking about Roosevelt’s speeches.
D.	Readers are unconcerned with Roosevelt’s blunt style.
"
2030," TO30 A1000330 B
A1092030 B
2030.	In the mid-1800s, an American named Gail Borden invented condensed milk. Borden wanted to find a way to preserve milk for longer than just a day or two. It was difficult to keep milk from spoiling because, prior to the 1900s, home refrigeration was not common. After some experimentation, Borden found that milk was more than three-quarters water. He looked for ways to vaporize the water so that only a more concentrated milk product would remain. Boiling the milk directly over a heat source using an open container burned and discolored the milk, as others had learned, so Borden tried boiling the water off using an airtight method and a “vacuum pan.” He was successful, and for the first time, many families could safely store milk for longer periods of time.

According to the passage, Borden invented condensed milk mainly to

A.	increase rates of milk production and consumption.
B.	preserve milk for longer than just a day or two.
C.	improve the taste and appearance of milk.
D.	create a more concentrated milk product.
"
